GEOID,NAME,variable,estimate,moe,Sex,Age,HI_coverage,zip_pop,prop_sex,prop_age,prop_HI_cov,prop_sex_age,prop_sex_HI_cov,prop_age_HI_cov,prop_sex_age_HI_cov
60637,ZCTA5 60637,B27001_010,2998,395,Male,19 to 25 years,Yes,47213,0.439243428716667,0.14688750979603074,0.9286848961091225,0.07349670641560588,0.40279160400737085,0.13007010780928982,0.06349945989452058
60637,ZCTA5 60637,B27001_011,472,177,Male,19 to 25 years,No,47213,0.439243428716667,0.14688750979603074,0.07131510389087752,0.07349670641560588,0.03645182470929617,0.01681740198674094,0.009997246521085294
60637,ZCTA5 60637,B27001_013,2157,293,Male,26 to 34 years,Yes,47213,0.439243428716667,0.13144684726664266,0.9286848961091225,0.0515324169190689,0.40279160400737085,0.11820896786901913,0.045686569377078344
60637,ZCTA5 60637,B27001_014,276,109,Male,26 to 34 years,No,47213,0.439243428716667,0.13144684726664266,0.07131510389087752,0.0515324169190689,0.03645182470929617,0.013237879397623536,0.0058458475419905535
60637,ZCTA5 60637,B27001_016,1625,244,Male,35 to 44 years,Yes,47213,0.439243428716667,0.11098638086967573,0.9286848961091225,0.039671276978798214,0.40279160400737085,0.10143392709635059,0.03441848643382119
60637,ZCTA5 60637,B27001_017,248,93,Male,35 to 44 years,No,47213,0.439243428716667,0.11098638086967573,0.07131510389087752,0.039671276978798214,0.03645182470929617,0.009552453773325144,0.005252790544977019
60637,ZCTA5 60637,B27001_019,1632,213,Male,45 to 54 years,Yes,47213,0.439243428716667,0.10255649926926906,0.9286848961091225,0.037447313239997455,0.40279160400737085,0.09287696185372672,0.034566750683074576
60637,ZCTA5 60637,B27001_020,136,67,Male,45 to 54 years,No,47213,0.439243428716667,0.10255649926926906,0.07131510389087752,0.037447313239997455,0.03645182470929617,0.00967953741554233,0.002880562556922881
60637,ZCTA5 60637,B27001_022,1926,257,Male,55 to 64 years,Yes,47213,0.439243428716667,0.11418465253214156,0.9286848961091225,0.04674559972888823,0.40279160400737085,0.10357316840700655,0.04079384915171669
60637,ZCTA5 60637,B27001_023,281,102,Male,55 to 64 years,No,47213,0.439243428716667,0.11418465253214156,0.07131510389087752,0.04674559972888823,0.03645182470929617,0.010611484125135026,0.005951750577171542
